Name	Label	Note	Latitude	Longitude	RadiusMiles	Color
Dominguez Life Group	Dominguez		29.5785585	-98.39367515	1.5	#cc0000
Fermin Life Group	Fermin		29.51140645	-98.73412045	1.5	#cc0000
George Life Group	George		29.71026006	-98.64123485	1.5	#cc0000
Young Adults	Young Adults		29.31920163	-98.56445905	1.5	#cc0000
Hicks Life Group	Hicks		29.6838132	-98.45990785	1.5	#cc0000
Holmes Life Group	Holmes		29.56568328	-98.29158903	1.5	#cc0000
Larson Life Group	Larson		29.77699294	-98.52047166	1.5	#cc0000
Mariano Life Group	Mariano		29.51425704	-98.74264159	1.5	#cc0000
Morgan Life Group	Morgan		29.59387838	-98.21941225	1.5	#cc0000
Norris Life Group	Norris		29.58708641	-98.38761859	1.5	#cc0000
Orta Life Group	Orta		29.42409211	-98.7681397	1.5	#cc0000
Rockett Life Group	Rockett		29.57606405	-98.34284512	1.5	#cc0000
Seniors Life Group	Seniors #1	Location 1	29.5785585	-98.39367515	1.5	#cc0000
Seniors Life Group	Seniors #2	Location 2	N/A	N/A	1.5	#cc0000
Mirasol Life Group	Mirasol		29.4120391	-98.77051316	1.5	#cc0000
Vargas Life Group	Vargas		29.6814279	-98.6582832	1.5	#cc0000
Women's Life Group	Women's		29.5785585	-98.39367515	1.5	#cc0000
